ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao
2023,4301750,Municipal,,,14.05,23.65,37.0,52.68,67.85,80.0,,
2024,4301750,Municipal,4.4,,14.05,23.65,37.0,52.68,67.85,80.0,0,92.59
2024,2406908,Municipal,42.86,7.94,14.05,23.65,37.0,52.68,67.85,80.0,1,84.0
2023,2406908,Municipal,4.4,7.94,14.05,23.65,37.0,52.68,67.85,80.0,0,82.14
2023,1718501,Municipal,4.6,8.25,14.48,24.16,37.49,53.03,68.0,80.0,0,95.65
2024,1718501,Municipal,50.29,8.25,14.48,24.16,37.49,53.03,68.0,80.0,2,90.57
2024,2919900,Municipal,12.5,8.39,14.66,24.38,37.7,53.17,68.06,80.0,0,100.0
2023,2919900,Municipal,4.7,8.39,14.66,24.38,37.7,53.17,68.06,80.0,0,87.76
2023,2414456,Municipal,,,18.14,28.32,41.34,55.7,69.16,80.0,,
2024,2414456,Municipal,10.95,,18.14,28.32,41.34,55.7,69.16,80.0,0,80.43
2023,1716307,Municipal,6.5,11.05,18.14,28.32,41.34,55.7,69.16,80.0,0,82.69
2024,1716307,Municipal,37.96,11.05,18.14,28.32,41.34,55.7,69.16,80.0,0,93.55
2024,2406205,Municipal,11.65,,19.26,29.54,42.43,56.43,69.47,80.0,0,74.29
2023,2406205,Municipal,,,19.26,29.54,42.43,56.43,69.47,80.0,,
2023,2205581,Municipal,7.2,11.95,19.26,29.54,42.43,56.43,69.47,80.0,0,91.23
2024,2205581,Municipal,44.87,11.95,19.26,29.54,42.43,56.43,69.47,80.0,1,84.62
2023,1718006,Municipal,7.6,12.49,19.92,30.24,43.04,56.84,69.65,80.0,0,91.67
2024,1718006,Municipal,37.89,12.49,19.92,30.24,43.04,56.84,69.65,80.0,0,85.45
2024,3167509,Municipal,48.25,14.14,21.89,32.29,44.8,58.0,70.15,80.0,1,88.89
2023,3167509,Municipal,8.8,14.14,21.89,32.29,44.8,58.0,70.15,80.0,0,87.5
2024,2408706,Municipal,14.29,,22.17,32.58,45.04,58.16,70.22,80.0,0,70.0
2023,2408706,Municipal,,,22.17,32.58,45.04,58.16,70.22,80.0,,
2024,1715705,Municipal,31.27,14.38,22.17,32.58,45.04,58.16,70.22,80.0,0,83.51
2023,1715705,Municipal,9.0,14.38,22.17,32.58,45.04,58.16,70.22,80.0,0,87.1
2024,1717800,Municipal,44.56,15.03,22.93,33.35,45.69,58.59,70.4,80.0,1,89.36
2023,1717800,Municipal,9.5,15.03,22.93,33.35,45.69,58.59,70.4,80.0,0,95.45
2023,1200435,Municipal,,,23.62,34.04,46.27,58.96,70.57,80.0,,
2024,1200435,Municipal,15.62,,23.62,34.04,46.27,58.96,70.57,80.0,0,76.32
2023,2804300,Municipal,10.0,15.64,23.62,34.04,46.27,58.96,70.57,80.0,0,88.89
2024,2804300,Municipal,22.01,15.64,23.62,34.04,46.27,58.96,70.57,80.0,0,94.59
2023,2515005,Municipal,10.1,15.73,23.72,34.14,46.35,59.02,70.59,80.0,0,85.71
2024,2515005,Municipal,100.0,15.73,23.72,34.14,46.35,59.02,70.59,80.0,5,82.14
2023,2505238,Municipal,10.3,16.05,24.09,34.51,46.65,59.21,70.67,80.0,0,81.08
2024,2505238,Municipal,22.16,16.05,24.09,34.51,46.65,59.21,70.67,80.0,0,78.31
2024,2907400,Municipal,25.71,16.24,24.3,34.72,46.83,59.32,70.72,80.0,0,94.59
2023,2907400,Municipal,10.5,16.24,24.3,34.72,46.83,59.32,70.72,80.0,0,81.82
2023,2505808,Municipal,11.1,16.94,25.09,35.49,47.46,59.73,70.9,80.0,0,90.24
2024,2505808,Municipal,60.0,16.94,25.09,35.49,47.46,59.73,70.9,80.0,3,94.59
2023,2400604,Municipal,11.1,17.02,25.17,35.57,47.53,59.77,70.91,80.0,0,90.0
2024,2400604,Municipal,21.43,17.02,25.17,35.57,47.53,59.77,70.91,80.0,0,100.0
2024,2805901,Municipal,31.48,17.27,25.46,35.84,47.75,59.92,70.98,80.0,0,98.92
2023,2805901,Municipal,11.3,17.27,25.46,35.84,47.75,59.92,70.98,80.0,0,94.64
2024,1703073,Municipal,18.26,18.0,26.26,36.62,48.38,60.32,71.15,80.0,0,94.74
2023,1703073,Municipal,11.9,18.0,26.26,36.62,48.38,60.32,71.15,80.0,0,87.36
2023,1707702,Municipal,12.0,18.04,26.3,36.65,48.41,60.34,71.16,80.0,0,91.21
2024,1707702,Municipal,12.63,18.04,26.3,36.65,48.41,60.34,71.16,80.0,0,84.62
2024,2514602,Municipal,29.62,18.06,26.33,36.68,48.43,60.35,71.16,80.0,0,91.18
2023,2514602,Municipal,12.0,18.06,26.33,36.68,48.43,60.35,71.16,80.0,0,90.0
2024,1709005,Municipal,38.49,18.74,27.07,37.38,48.99,60.71,71.32,80.0,0,77.44
2023,1709005,Municipal,12.5,18.74,27.07,37.38,48.99,60.71,71.32,80.0,0,88.07
